ACTIVITY
Swimming
Snorkeling
Surfing
Paddleboarding
Kayaking
Jet Skiing
Parasailing
Sunbathing
Reading
Meditation
Picknicking
Beach Volley
Frisbee
Beach Soccer
Sandcastle Building
Kite Flying
Shell Collecting
Beachcombing
Tide Pooling
Fishing
Watching
Bonfire
Stargazing
Sailing
Photography
Painting
Sketching
Writing
Treasure Hunt
Dragging a shark
Rowing
Beach Cleanup
Bathing
Boarding
Diving
Floating
Feeding a shark
Lobstering
Touching a shark
Teasing  a shark
Walking
Playing
Filming
Canoeing
Jumping
Collecting sea stars
Rescuing
Crawling
Crabbing
Singing
Shrimping
Treading
